title,description,published date,url,source
"Trump Considers Reopening Economy, Over Health Experts' Objections (Published 2020) - The New York Times","Trump Considers Reopening Economy, Over Health Experts' Objections (Published 2020)  The New York Times","Tue, 24 Mar 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjAvMDMvMjMvYnVzaW5lc3MvdHJ1bXAtY29yb25hdmlydXMtZWNvbm9teS5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,The New York Times
"Trump claims 'total' authority, over govs, to reopen economy - The Associated Press","Trump claims 'total' authority, over govs, to reopen economy  The Associated Press","Sun, 12 Apr 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3ZpcnVzLW91dGJyZWFrLWRvbmFsZC10cnVtcC1hcC10b3AtbmV3cy1wb2xpdGljcy1oZWFsdGgtYmE5NTc4YWNmMjNiZGIwM2ZkNTFhMmI4MWY2NDA1NjDSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,The Associated Press
5 Ways the Trump Administration's Policy Failures Compounded the Coronavirus-Induced Economic Crisis - Center For American Progress,5 Ways the Trump Administration's Policy Failures Compounded the Coronavirus-Induced Economic Crisis  Center For American Progress,"Wed, 03 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy5hbWVyaWNhbnByb2dyZXNzLm9yZy9hcnRpY2xlLzUtd2F5cy10cnVtcC1hZG1pbmlzdHJhdGlvbnMtcG9saWN5LWZhaWx1cmVzLWNvbXBvdW5kZWQtY29yb25hdmlydXMtaW5kdWNlZC1lY29ub21pYy1jcmlzaXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,Center For American Progress
How Trump's economy compares to other presidents - Axios,How Trump's economy compares to other presidents  Axios,"Mon, 17 Feb 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmF4aW9zLmNvbS8yMDIwLzAyLzE3L3ByZXNpZGVudHMtZWNvbm9teS1nZHAtdHJ1bXDSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,Axios
How to Debunk Trump's False Claims About the Economy - The New Yorker,How to Debunk Trump's False Claims About the Economy  The New Yorker,"Tue, 21 Jan 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3Lm5ld3lvcmtlci5jb20vbmV3cy9vdXItY29sdW1uaXN0cy9ob3ctdG8tZGVidW5rLXRydW1wcy1mYWxzZS1jbGFpbXMtYWJvdXQtdGhlLWVjb25vbXnSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,The New Yorker
Americans say they feel like this is the best economy since the late 1990s - The Washington Post,Americans say they feel like this is the best economy since the late 1990s  The Washington Post,"Mon, 10 Feb 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9idXNpbmVzcy8yMDIwLzAyLzEwL2FtZXJpY2Fucy1mZWVsLWdvb2QtZWNvbm9teS_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,The Washington Post
Trump will leave office with a historically bad economic record - CNN,Trump will leave office with a historically bad economic record  CNN,"Sun, 13 Dec 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8xMi8xMy9wb2xpdGljcy90cnVtcC1lY29ub215LXJlY29yZC9pbmRleC5odG1s0gFAaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMC8xMi8xMy9wb2xpdGljcy90cnVtcC1lY29ub215LXJlY29yZA?oc=5&hl=en-US&gl=US&ceid=US:en,CNN
Trump touts his economy as 'the best it has ever been.' The data doesn't show that. - The Washington Post,Trump touts his economy as 'the best it has ever been.' The data doesn't show that.  The Washington Post,"Tue, 04 Feb 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9idXNpbmVzcy8yMDIwLzAyLzA0L3RydW1wLXRvdXRzLWhpcy1lY29ub215LWJlc3QtZXZlci1kYXRhLWlzLW1vcmUtbWl4ZWQv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,The Washington Post
Opinion | Trump boasts about a great economic record. Too bad it's Obama's. - The Washington Post,Opinion | Trump boasts about a great economic record. Too bad it's Obama's.  The Washington Post,"Mon, 31 Aug 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMioAFodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vb3BpbmlvbnMvdHJ1bXAtYm9hc3RzLWFib3V0LWEtZ3JlYXQtZWNvbm9taWMtcmVjb3JkLXRvby1iYWQtaXRzLW9iYW1hcy8yMDIwLzA4LzMxLzFlZWJjNTlhLWViYjgtMTFlYS1iNGJjLTNhMjA5OGZjNzNkNF9zdG9yeS5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,The Washington Post
What Happened to the Economy Under Trump Before Covid and After - The Wall Street Journal,What Happened to the Economy Under Trump Before Covid and After  The Wall Street Journal,"Wed, 14 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvd2hhdC1oYXBwZW5lZC10by10aGUtZWNvbm9teS11bmRlci10cnVtcC1iZWZvcmUtY292aWQtYW5kLWFmdGVyLTExNjAyNzEzMDc30gEA?oc=5&hl=en-US&gl=US&ceid=US:en,The Wall Street Journal
Trump Administration Highlights Outdoor Recreation and RV Company Signing the Pledge to America's Workers | U.S. ... - US Department of the Interior,Trump Administration Highlights Outdoor Recreation and RV Company Signing the Pledge to America's Workers | U.S. ...  US Department of the Interior,"Wed, 14 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmRvaS5nb3YvcHJlc3NyZWxlYXNlcy90cnVtcC1hZG1pbmlzdHJhdGlvbi1oaWdobGlnaHRzLW91dGRvb3ItcmVjcmVhdGlvbi1hbmQtcnYtY29tcGFueS1zaWduaW5nLXBsZWRnZdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,US Department of the Interior
Trump and the US economy: What can he take credit for? - DW (English),Trump and the US economy: What can he take credit for?  DW (English),"Thu, 29 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmR3LmNvbS9lbi90cnVtcC1hbmQtdGhlLXVzLWVjb25vbXktd2hhdC1jYW4taGUtdGFrZS1jcmVkaXQtZm9yL2EtNTQ5NDU5ODLSAVVodHRwczovL2FtcC5kdy5jb20vZW4vdHJ1bXAtYW5kLXRoZS11cy1lY29ub215LXdoYXQtY2FuLWhlLXRha2UtY3JlZGl0LWZvci9hLTU0OTQ1OTgy?oc=5&hl=en-US&gl=US&ceid=US:en,DW (English)
'I'd love to have it open by Easter': Trump says he wants to restart economy by mid-April - POLITICO,'I'd love to have it open by Easter': Trump says he wants to restart economy by mid-April  POLITICO,"Tue, 24 Mar 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjAvMDMvMjQvdHJ1bXAtd2FudHMtdG8tcmVzdGFydC1lY29ub215LWJ5LW1pZC1hcHJpbC0xNDYzOTjSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,POLITICO
Great News: Trump's Economy is Working for Women - House Committee on Ways and Means - Ways and Means Committee,Great News: Trump's Economy is Working for Women - House Committee on Ways and Means  Ways and Means Committee,"Mon, 13 Jan 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd2F5c2FuZG1lYW5zLmhvdXNlLmdvdi9ncmVhdC1uZXdzLXRydW1wcy1lY29ub215LWlzLXdvcmtpbmctZm9yLXdvbWVuL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,Ways and Means Committee
Trump's Economic Growth Is Slower Than Obama's Last 3 Years - Forbes,Trump's Economic Growth Is Slower Than Obama's Last 3 Years  Forbes,"Sat, 01 Feb 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvY2h1Y2tqb25lcy8yMDIwLzAyLzAxL3RydW1wcy1lY29ub21pYy1ncm93dGgtaXMtc2xvd2VyLXRoYW4tb2JhbWFzLWxhc3QtMy15ZWFycy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,Forbes
